Name,Age,City
shubham,21,nanded
vedansh,22,mumbai
hindavi,20,pune
rahul,23,nagpur
pratik,21,nashik
rohan,24,kolhapur
akshay,22,aurangabad
sneha,20,satara
pooja,23,solapur
neha,21,thane
amit,25,pune
sachin,24,mumbai
om,22,nanded
aditya,20,nagpur
viraj,23,nashik
tejas,21,pune
kunal,26,kolhapur
aniket,22,satara
nikhil,24,solapur
saurabh,23,thane
tanvi,20,mumbai
sakshi,21,pune
riya,22,nagpur
isha,24,nashik
simran,23,nanded
pranav,21,aurangabad
atharva,20,pune
yash,22,mumbai
harsh,25,kolhapur
manish,24,nagpur
vishal,23,nashik
rohit,21,satara
mayur,26,solapur
gaurav,22,thane
karan,24,pune
varun,23,nanded
mohit,25,mumbai
ajay,21,nagpur
deepak,27,nashik
abhishek,22,pune
